grupo	muestra	v3.1.16.x	v3.1.17.x	v3.1.18.x	v3.1.19.x	v3.1.20.x	programa.x	v3.1.16.y	v3.1.17.y	v3.1.18.y	v3.1.19.y	v3.1.20.y	programa.y
COD_2113	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2113	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2113	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	P.1	P.1	P.1	P.1	P.1	Viralrecon
COD_2113	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2113	muestra 7	None	None	None	None	None	Laboratorios	None	None	None	None	None	Viralrecon
COD_2113	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2113	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2113	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2114	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2114	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2114	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2114	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2114	muestra 5	P.1	P.1.14	P.1	P.1	P.1	Laboratorios	P.1.15	P.1.15	P.1	P.1	P.1	Viralrecon
COD_2114	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2114	muestra 7	None	None	None	None	None	Laboratorios	None	None	None	None	None	Viralrecon
COD_2114	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2114	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2114	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2115	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 3	A	A.28	A.28	A.28	A.28	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 6	None	None	None	None	None	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 8	AY.98.1	AY.43	AY.43	AY.43	AY.43	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 9	AY.98.1	AY.43	AY.43	AY.43	AY.43	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2115	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2116	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2116	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2116	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2116	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2116	muestra 5	P.1.14	P.1	P.1	P.1	P.1	Laboratorios	P.1.14	P.1	P.1	P.1	P.1	Viralrecon
COD_2116	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2116	muestra 8	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	Laboratorios	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	Viralrecon
COD_2116	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2116	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2117	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2117	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2117	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2117	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2117	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	P.1	P.1	P.1	P.1	P.1	Viralrecon
COD_2117	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2117	muestra 7	NA	NA	NA	NA	NA	NA	None	None	None	None	None	Viralrecon
COD_2117	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2117	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2117	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2117_protocol2	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2117_protocol2	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2117_protocol2	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2117_protocol2	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2117_protocol2	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	P.1	P.1	P.1	P.1	P.1	Viralrecon
COD_2117_protocol2	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2117_protocol2	muestra 7	NA	NA	NA	NA	NA	NA	None	None	None	None	None	Viralrecon
COD_2117_protocol2	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2117_protocol2	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2117_protocol2	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2119	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2119	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 7	None	None	None	None	None	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2120	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	NA	NA	NA	NA	NA	NA
COD_2121	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2121	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2121	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2121	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2121	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	P.1	P.1	P.1	P.1	P.1	Viralrecon
COD_2121	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2121	muestra 7	NA	NA	NA	NA	NA	NA	None	None	None	None	None	Viralrecon
COD_2121	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2121	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2121	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2122	muestra 1	B.1.1.7	Q.4	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	Q.4	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2122	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2122	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2122	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2122	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	P.1	P.1	P.1	P.1	P.1	Viralrecon
COD_2122	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2122	muestra 7	None	None	None	None	None	Laboratorios	None	None	None	None	None	Viralrecon
COD_2122	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2122	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2122	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2123	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2123	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2123	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2123	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2123	muestra 5	P.1	P.1.14	P.1	P.1	P.1	Laboratorios	P.1.14	P.1	P.1	P.1	P.1	Viralrecon
COD_2123	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2123	muestra 7	None	None	None	None	None	Laboratorios	None	None	None	None	None	Viralrecon
COD_2123	muestra 8	AY.44	B.1.617.2	AY.44	AY.44	AY.44	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2123	muestra 9	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2123	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2124	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2124	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2124	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2124	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2124	muestra 5	NA	NA	NA	NA	NA	NA	P.1	P.1	P.1	P.1	P.1	Viralrecon
COD_2124	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2124	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2124	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2124	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
COD_2125	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Laboratorios	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	Viralrecon
COD_2125	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Laboratorios	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351	Viralrecon
COD_2125	muestra 3	A.28	A.28	A.28	A.28	A.28	Laboratorios	A.28	A.28	A.28	A.28	A.28	Viralrecon
COD_2125	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Laboratorios	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621	Viralrecon
COD_2125	muestra 5	P.1	P.1	P.1	P.1	P.1	Laboratorios	P.1	P.1	P.1	P.1	P.1	Viralrecon
COD_2125	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Laboratorios	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2	Viralrecon
COD_2125	muestra 7	None	None	None	None	None	Laboratorios	None	None	None	None	None	Viralrecon
COD_2125	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2125	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94	Laboratorios	AY.94	AY.94	AY.94	AY.94	AY.94	Viralrecon
COD_2125	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43	Laboratorios	AY.43	AY.43	AY.43	AY.43	AY.43	Viralrecon
