"id"	"platform_1"	"platform_2"	"librerias"	"genome"	"bioinformatica"
"1"	"COD_2103"	"Illumina"	"Illumina iSeq"	"ABL DeepChek Assay WG SC2 V1"	"NC_045512.2"	"DeepChek pipeline"
"2"	"COD_2106"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"SeqCOVID"
"3"	"COD_2107"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"nf-core/viralrecon"
"4"	"COD_2108"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"DRAGEN COVID"
"5"	"COD_2109"	"Illumina"	"Illumina NextSeq"	"Illumina DNA Prep Tagmentation"	"MN908947.3"	"nf-core/viralrecon"
"6"	"COD_2110"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"DRAGEN COVID"
"7"	"COD_2111"	"Illumina"	"Illumina NextSeq"	"Illumina Covidseq Kit"	"NC_045512.2"	"DRAGEN COVID"
"8"	"COD_2112"	"Illumina"	"Illumina iSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"DRAGEN COVID"
"9"	"COD_2113"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"MN908947.3"	"SeqCOVID"
"10"	"COD_2114"	"Illumina"	"Illumina MiSeq"	NA	"NC_045512.2"	"In-house protocol"
"11"	"COD_2116"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"DRAGEN COVID"
"12"	"COD_2117"	"Illumina"	"Illumina NovaSeq"	"Illumina Covidseq Kit"	"NC_045512.2"	"DRAGEN COVID"
"14"	"COD_2121"	"Illumina"	"Illumina NextSeq"	"Illumina Covidseq Kit"	"NC_045512.2"	"DRAGEN COVID"
"15"	"COD_2122"	"Illumina"	"Illumina iSeq"	"ABL DeepChek Assay WG SC2 V1"	"NC_045512.2"	"DeepChek pipeline"
"16"	"COD_2123"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"MN908947.3"	"In-house protocol"
"17"	"COD_2124"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"DRAGEN COVID"
"18"	"COD_2125"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"MG-IiSGM/covid_multianalysis"
"19"	"COD_2126"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"MN908947.3"	"DRAGEN COVID"
"20"	"COD_2129"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"MN908947.3"	"nf-core/viralrecon"
"21"	"COD_2131"	"Illumina"	"Illumina NextSeq"	"Illumina Covidseq Kit"	"NC_045512.2"	"In-house protocol"
"22"	"COD_2132"	"Illumina"	"Illumina iSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"DRAGEN COVID"
"23"	"COD_2134"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"DRAGEN COVID"
"24"	"COD_2135"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"In-house protocol"
"25"	"COD_2137"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"MN908947.3"	"In-house protocol"
"26"	"COD_2139"	"Illumina"	"Illumina MiSeq"	"Illumina DNA Prep Tagmentation"	"NC_045512.2"	"SeqCOVID"
"27"	"COD_2141"	"Illumina"	"Illumina MiSeq"	NA	"NC_045512.2"	"DRAGEN COVID"
"28"	"COD_2101"	"Ion Torrent"	"Ion Torrent Genexusâ„¢ Integrated Sequencer"	"Genexus Library Strips 1 and 2-AS (Thermo Fisher)"	"NC_045512.2"	"NA"
"29"	"COD_2102"	"Ion Torrent"	"Ion Torrent S5"	"Ion Ampliseq Library Kit Plus"	"MN908947.3"	"Ion Torrent Suite pipeline"
"30"	"COD_2104"	"Ion Torrent"	"Ion Torrent S5 XL"	"Ion AmpliSeq Kit for Chef DL8"	"MN908947.3"	"Ion Torrent Suite pipeline"
"31"	"COD_2105"	"Ion Torrent"	"Ion Torrent S5"	"NEBNext Fast DNA Library Prep Set"	"NC_045512.2"	"IRMA"
"32"	"COD_2115"	"Ion Torrent"	"Ion Torrent PGM"	"Vela Diagnostics:ViroKey SQ FLEX Library Prep Reagents"	"NC_045512.2"	"Vela Dx Bioinformatics pipeline"
"33"	"COD_2119"	"Ion Torrent"	"Ion Torrent S5"	"Ion AmpliSeq Kit for Chef DL8"	"MN908947.3"	"Ion Torrent Suite pipeline"
"34"	"COD_2120"	"Ion Torrent"	"Ion Torrent S5"	"Ion AmpliSeq SARS-CoV-2 Insight Research Assay"	"MN908947.3"	"Ion AmpliSeq pipeline"
"35"	"COD_2127"	"Ion Torrent"	"Ion Torrent S5"	"Ion AmpliSeq Kit"	"MN908947.3"	"Ion Torrent Suite pipeline"
"36"	"COD_2136"	"Ion Torrent"	"Ion Torrent S5"	"Ion AmpliSeq Kit for Chef DL8"	"NC_045512.2"	"Ion Torrent Suite pipeline"
"37"	"COD_2143"	"Ion Torrent"	"Ion Torrent"	"Ion AmpliSeq SARS-CoV-2 Insight Research Assay"	"NC_045512.2"	"Ion Torrent Suite pipeline"
"40"	"COD_2140"	"Nanopore"	"MinION"	"Oxford Nanopore Sequencing Kit"	"NC_045512.2"	"nextflow/poreCov"
